LOINC_NUM,COMPONENT,PROPERTY,CLASS,Flag
100282-3,Vaccine exemption certificate,Find,DOC.ADMIN,certificate
10228-5,Vendor serial number,ID,HEMODYN.ATOM,number
10251-7,Vendor serial number,ID,HRTRATE.ATOM,number
10299-6,Vendor serial number,ID,IO.TUBE,number
10300-2,Vendor serial number,ID,IO.TUBE,number
10301-0,Vendor serial number,ID,IO.TUBE,number
10302-8,Vendor serial number,ID,IO.TUBE,number
10303-6,Vendor serial number,ID,IO.TUBE,number
10304-4,Vendor serial number,ID,IO.TUBE,number
10305-1,Vendor serial number,ID,IO.TUBE,number
10306-9,Vendor serial number,ID,IO.TUBE,number
10307-7,Vendor serial number,ID,IO.TUBE,number
10308-5,Vendor serial number,ID,IO.TUBE,number
10309-3,Vendor serial number,ID,IO.TUBE,number
10310-1,Vendor serial number,ID,IO.TUBE,number
10311-9,Vendor serial number,ID,IO.TUBE,number
10312-7,Vendor serial number,ID,IO.TUBE,number
10313-5,Vendor serial number,ID,IO.TUBE,number
10314-3,Vendor serial number,ID,IO.TUBE,number
10315-0,Vendor serial number,ID,IO.TUBE,number
10316-8,Vendor serial number,ID,IO.TUBE,number
10317-6,Vendor serial number,ID,IO.TUBE,number
10318-4,Vendor serial number,ID,IO.TUBE,number
10321-8,Vendor serial number,ID,IO_IN.MOLEC,number
10326-7,Vendor serial number,ID,RESP.ATOM,number
103595-5,Certificate of medical necessity,Find,ATTACH,certificate
104531-9,Temporary incapacity certificate,Find,DOC.ONTOLOGY,certificate
104582-2,Consultation note,Find,DOC.ONTOLOGY,telephone
104583-0,Consultation note,Find,DOC.ONTOLOGY,telephone
104584-8,Consultation note,Find,DOC.ONTOLOGY,telephone
104586-3,Note,Find,DOC.ONTOLOGY,telephone
104748-9,Medication order stop,Date,MEDS,date
104782-8,Order start date,Date,CLIN,date
104791-9,Medication dispense expiry date,Date,MEDS,date
104807-3,Medication cessation date time,Date,MEDS,date
104820-6,Medication dispense start date,Date,MEDS,date
104893-3,Information updated date and time,TmStp,ADMIN,date
104897-4,Longitude,ID,DOC.ADMIN,"longitude, identifier"
104906-3,Procedure end date and time,TmStp,ADMIN,date
104914-7,Date first reaction,Date,ADMIN,date
